"seqnames","start","end","width","strand","category","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","SYMBOL"
"chr1",17128234,17129041,808,"*","Shared","Distal Intergenic",1,17066761,17119451,52691,2,"11240","ENST00000375486.9",-8783,"PADI2"
"chr1",19758031,19758882,852,"*","Shared","Intron (ENST00000375127.5/255104, intron 5 of 15)",1,19750081,19771427,21347,2,"255104","ENST00000462171.1",12545,"TMCO4"
"chr1",19759505,19760204,700,"*","Shared","Intron (ENST00000375127.5/255104, intron 5 of 15)",1,19750081,19771427,21347,2,"255104","ENST00000462171.1",11223,"TMCO4"
"chr1",19790538,19790973,436,"*","Shared","Intron (ENST00000375127.5/255104, intron 1 of 15)",1,19682240,19799344,117105,2,"255104","ENST00000375127.5",8371,"TMCO4"
"chr1",20613703,20614141,439,"*","Shared","Exon (ENST00000375071.4/978, exon 3 of 4)",1,20633458,20651511,18054,1,"65018","ENST00000321556.5",-19317,"PINK1"
"chr1",21043245,21043772,528,"*","Shared","Intron (ENST00000374935.7/8672, intron 4 of 32)",1,20806488,21050950,244463,2,"8672","ENST00000681717.1",7178,"EIF4G3"
"chr1",21149578,21150241,664,"*","Shared","Intron (ENST00000374935.7/8672, intron 2 of 32)",1,20941247,21168039,226793,2,"8672","ENST00000682284.1",17798,"EIF4G3"
"chr1",21764621,21765598,978,"*","Shared","Intron (ENST00000308271.14/84196, intron 1 of 26)",1,21753007,21782020,29014,2,"84196","ENST00000527823.5",16422,"USP48"
"chr1",23100082,23100486,405,"*","Shared","Intron (ENST00000475164.3/7798, intron 3 of 4)",1,23079363,23083638,4276,1,"23028","ENST00000690907.1",20719,"KDM1A"
"chr1",23194122,23195343,1222,"*","Shared","5' UTR",1,23084030,23178152,94123,2,"7798","ENST00000713667.1",-15970,"LUZP1"
"chr1",24374908,24375701,794,"*","Shared","Intron (ENST00000337248.9/90529, intron 5 of 8)",1,24369043,24379823,10781,2,"90529","ENST00000438866.1",4122,"STPG1"
"chr1",24417008,24417263,256,"*","Shared","Promoter (<=1kb)",1,24357005,24416934,59930,2,"90529","ENST00000468303.5",-74,"STPG1"
"chr1",25696023,25696305,283,"*","Shared","Intron (ENST00000374332.9/57134, intron 2 of 11)",1,25686502,25761684,75183,1,"57134","ENST00000473891.1",9521,"MAN1C1"
"chr1",28122140,28122651,512,"*","Shared","Intron (ENST00000687303.1/ENST00000687303.1, intron 2 of 2)",1,27970347,28088637,118291,2,"2140","ENST00000540618.5",-33503,"EYA3"
"chr1",28437581,28438405,825,"*","Shared","Promoter (<=1kb)",1,28438151,28460286,22136,1,"65979","ENST00000633167.1",0,"PHACTR4"
"chr1",28508609,28509502,894,"*","Shared","Promoter (<=1kb)",1,28508559,28508762,204,1,"26768","ENST00000363217.1",50,"SNORA73B"
"chr1",29331724,29332391,668,"*","Shared","Intron (ENST00000417651.1/101928460, intron 2 of 2)",1,29323218,29325650,2433,1,"10076","ENST00000492954.1",8506,"PTPRU"
"chr1",29575476,29576738,1263,"*","Shared","Distal Intergenic",1,29329620,29350114,20495,2,"101928460","ENST00000417651.1",-225362,"LINC01756"
"chr1",30732666,30733119,454,"*","Shared","3' UTR",1,30739156,30739232,77,2,"100616164","ENST00000583944.1",6113,"MIR4420"
"chr1",34268230,34268691,462,"*","Shared","Distal Intergenic",1,34176907,34219131,42225,1,"84970","ENST00000488417.2",91323,"C1orf94"
"chr1",35607365,35607747,383,"*","Shared","Intron (ENST00000373237.4/5690, intron 4 of 5)",1,35587957,35595266,7310,1,"339488","ENST00000683984.1",19408,"TFAP2E"
"chr1",35613642,35614133,492,"*","Shared","Intron (ENST00000373237.4/5690, intron 3 of 5)",1,35599544,35631537,31994,2,"5690","ENST00000621781.4",17404,"PSMB2"
"chr1",38138608,38139026,419,"*","Shared","Promoter (1-2kb)",1,38129464,38140593,11130,2,"105378655","ENST00000641212.1",1567,"LINC02786"
"chr1",39110691,39111153,463,"*","Shared","Intron (ENST00000361689.7/23499, intron 2 of 93)",1,39105505,39260137,154633,1,"23499","ENST00000688212.1",5186,"MACF1"
"chr1",39154712,39155223,512,"*","Shared","Intron (ENST00000361689.7/23499, intron 2 of 93)",1,39158864,39333181,174318,1,"23499","ENST00000672812.1",-3641,"MACF1"
"chr1",39159254,39159857,604,"*","Shared","Promoter (<=1kb)",1,39158864,39333181,174318,1,"23499","ENST00000672812.1",390,"MACF1"
"chr1",39177745,39178959,1215,"*","Shared","Intron (ENST00000361689.7/23499, intron 2 of 93)",1,39158864,39333181,174318,1,"23499","ENST00000672812.1",18881,"MACF1"
"chr1",39288762,39289366,605,"*","Shared","Intron (ENST00000361689.7/23499, intron 15 of 93)",1,39285645,39322948,37304,1,"23499","ENST00000673706.1",3117,"MACF1"
"chr1",39893004,39893591,588,"*","Shared","Distal Intergenic",1,39897745,39899098,1354,1,"105378668","ENST00000418255.1",-4154,"MYCL-AS1"
"chr1",39987548,39988323,776,"*","Shared","Distal Intergenic",1,39967619,39968614,996,1,"84879","ENST00000481612.1",19929,"MFSD2A"
"chr1",40392055,40392589,535,"*","Shared","Promoter (<=1kb)",1,40393345,40423324,29980,1,"64744","ENST00000614549.4",-756,"SMAP2"
"chr1",40967511,40968349,839,"*","Shared","Distal Intergenic",1,40979300,41012550,33251,1,"1503","ENST00000696107.1",-10951,"CTPS1"
"chr1",41955246,41955947,702,"*","Shared","Intron (ENST00000489103.5/59269, intron 1 of 3)",1,41506365,41918922,412558,2,"59269","ENST00000372583.6",-36324,"HIVEP3"
"chr1",42165657,42166071,415,"*","Shared","Promoter (<=1kb)",1,42162690,42164745,2056,2,"2980","ENST00000357001.3",-912,"GUCA2A"
"chr1",42844664,42845095,432,"*","Shared","Promoter (1-2kb)",1,42836928,42846362,9435,2,"122152325","ENST00000416809.2",1267,"ZNF691-DT"
"chr1",42949821,42950655,835,"*","Shared","Intron (ENST00000426263.10/6513, intron 1 of 9)",1,42926796,42943238,16443,2,"6513","ENST00000475162.3",-6583,"SLC2A1"
"chr1",43838952,43839577,626,"*","Shared","Promoter (<=1kb)",1,43838622,43838683,62,1,"102464830","ENST00000635807.1",330,"MIR6079"
"chr1",43858357,43858590,234,"*","Shared","Intron (ENST00000645057.1/9682, intron 19 of 25)",1,43838622,43838683,62,1,"102464830","ENST00000635807.1",19735,"MIR6079"
"chr1",44423577,44423992,416,"*","Shared","Intron (ENST00000355387.6/55182, intron 2 of 14)",1,44412698,44419872,7175,1,"55182","ENST00000470498.1",10879,"RNF220"
"chr1",44472563,44473100,538,"*","Shared","Intron (ENST00000355387.6/55182, intron 2 of 14)",1,44412698,44419872,7175,1,"55182","ENST00000470498.1",59865,"RNF220"
"chr1",45871788,45872584,797,"*","Shared","Intron (ENST00000470809.1/23139, intron 3 of 4)",1,45913588,46030759,117172,1,"23139","ENST00000372008.6",-41004,"MAST2"
"chr1",48052523,48052969,447,"*","Shared","Promoter (<=1kb)",1,48053545,48056776,3232,1,"105379778","ENST00000456803.5",-576,"LINC02794"
"chr1",51264558,51264938,381,"*","Shared","Exon (ENST00000422306.2/ENST00000422306.2, exon 2 of 2)",1,51269918,51271536,1619,1,"26994","ENST00000486691.1",-4980,"RNF11"
"chr1",53838278,53838678,401,"*","Shared","Promoter (<=1kb)",1,53765478,53838296,72819,2,"55706","ENST00000371429.4",0,"NDC1"
"chr1",53896768,53897225,458,"*","Shared","Intron (ENST00000534069.5/1733, intron 2 of 4)",1,53894211,53909999,15789,1,"1733","ENST00000532493.5",2557,"DIO1"
"chr1",55156083,55156380,298,"*","Shared","Intron (ENST00000294383.7/23358, intron 12 of 67)",1,55147649,55153917,6269,2,"23358","ENST00000634589.1",-2166,"USP24"
"chr1",55580570,55581291,722,"*","Shared","Exon (ENST00000422374.1/ENST00000422374.1, exon 1 of 3)",1,55823816,56070513,246698,1,"105378737","ENST00000646266.1",-242525,"LOC105378737"
"chr1",57411299,57411822,524,"*","Shared","Intron (ENST00000371236.7/1600, intron 1 of 14)",1,57070734,57424057,353324,2,"1600","ENST00000371230.1",12235,"DAB1"
"chr1",58727437,58727779,343,"*","Shared","Intron (ENST00000637377.1/112268263, intron 3 of 6)",1,58718420,58771295,52876,1,"105378751","ENST00000636386.1",9017,"LOC105378751"
"chr1",58764136,58765008,873,"*","Shared","Intron (ENST00000636386.1/105378751, intron 1 of 3)",1,58780791,58784047,3257,2,"3725","ENST00000371222.4",19039,"JUN"
"chr1",58848909,58849310,402,"*","Shared","Intron (ENST00000653297.1/100131060, intron 1 of 1)",1,58814435,58816042,1608,1,"101926907","ENST00000702876.1",34474,"LOC101926907"
"chr1",58874659,58875636,978,"*","Shared","Intron (ENST00000653297.1/100131060, intron 1 of 1)",1,58882872,58885662,2791,2,"105378753","ENST00000634986.1",10026,"LINC02777"
"chr1",58883138,58883729,592,"*","Shared","Promoter (1-2kb)",1,58882872,58885662,2791,2,"105378753","ENST00000634986.1",1933,"LINC02777"
"chr1",59127985,59129402,1418,"*","Shared","Intron (ENST00000715609.1/100131060, intron 3 of 6)",1,59132473,59146827,14355,2,"729467","ENST00000587839.2",17425,"HSD52"
"chr1",59143130,59144269,1140,"*","Shared","Intron (ENST00000715609.1/100131060, intron 4 of 6)",1,59132473,59146827,14355,2,"729467","ENST00000587839.2",2558,"HSD52"
"chr1",59150785,59151574,790,"*","Shared","Promoter (<=1kb)",1,59132473,59151241,18769,2,"729467","ENST00000631064.2",0,"HSD52"
"chr1",59367523,59368599,1077,"*","Shared","Intron (ENST00000413489.5/55277, intron 4 of 4)",1,59393208,59626023,232816,1,"55277","ENST00000475949.5",-24609,"FGGY"
"chr1",59505532,59505909,378,"*","Shared","Intron (ENST00000634606.1/55277, intron 5 of 16)",1,59512316,59660423,148108,1,"55277","ENST00000485720.1",-6407,"FGGY"
"chr1",59600656,59601595,940,"*","Shared","Intron (ENST00000634606.1/55277, intron 7 of 16)",1,59626015,59762730,136716,1,"55277","ENST00000493891.5",-24420,"FGGY"
"chr1",59669682,59671417,1736,"*","Shared","Intron (ENST00000634606.1/55277, intron 11 of 16)",1,59673657,59762544,88888,1,"55277","ENST00000472783.5",-2240,"FGGY"
"chr1",59678742,59679221,480,"*","Shared","Intron (ENST00000634606.1/55277, intron 12 of 16)",1,59673686,59762727,89042,1,"55277","ENST00000471169.5",5056,"FGGY"
"chr1",59730722,59731465,744,"*","Shared","Promoter (1-2kb)",1,59733227,59733296,70,2,"100616409","ENST00000578274.1",1831,"MIR4711"
"chr1",59738183,59739241,1059,"*","Shared","Intron (ENST00000634606.1/55277, intron 12 of 16)",1,59733227,59733296,70,2,"100616409","ENST00000578274.1",-4887,"MIR4711"
"chr1",59752607,59753292,686,"*","Shared","Intron (ENST00000634606.1/55277, intron 12 of 16)",1,59755672,59762724,7053,1,"55277","ENST00000480847.1",-2380,"FGGY"
"chr1",60448940,60449251,312,"*","Shared","Distal Intergenic",1,60540250,60601677,61428,2,"105378763","ENST00000634281.1",152426,"LINC01748"
"chr1",61337979,61338419,441,"*","Shared","Intron (ENST00000371191.5/4774, intron 4 of 10)",1,61277306,61457876,180571,1,"4774","ENST00000655770.1",60673,"NFIA"
"chr1",61951695,61952714,1020,"*","Shared","Promoter (<=1kb)",1,61952053,62163950,211898,1,"10207","ENST00000646453.1",0,"PATJ"
"chr1",62295902,62296453,552,"*","Shared","Intron (ENST00000371153.9/163782, intron 1 of 9)",1,62237544,62319301,81758,2,"163782","ENST00000354381.3",22848,"KANK4"
"chr1",62299667,62300442,776,"*","Shared","Intron (ENST00000371153.9/163782, intron 1 of 9)",1,62237544,62319301,81758,2,"163782","ENST00000354381.3",18859,"KANK4"
"chr1",63124590,63125202,613,"*","Shared","Distal Intergenic",1,63159087,63160410,1324,2,"199899","ENST00000432537.2",35208,"LINC00466"
"chr1",63984131,63984760,630,"*","Shared","Intron (ENST00000371079.6/4919, intron 1 of 8)",1,64106630,64108361,1732,2,"101927034","ENST00000675824.1",123601,"ROR1-AS1"
"chr1",64039547,64039853,307,"*","Shared","Intron (ENST00000371079.6/4919, intron 2 of 8)",1,64106630,64108361,1732,2,"101927034","ENST00000675824.1",68508,"ROR1-AS1"
"chr1",64484617,64484968,352,"*","Shared","Intron (ENST00000651257.2/57685, intron 1 of 26)",1,64470793,64693058,222266,1,"57685","ENST00000290039.6",13824,"CACHD1"
"chr1",64917328,64917990,663,"*","Shared","Intron (ENST00000342505.5/3716, intron 1 of 24)",1,64867100,64869408,2309,2,"3716","ENST00000672903.1",-47920,"JAK1"
"chr1",65425694,65426250,557,"*","Shared","Intron (ENST00000475108.5/54741, intron 2 of 2)",1,65420716,65436007,15292,1,"54741","ENST00000613538.1",4978,"LEPROT"
"chr1",65469759,65470269,511,"*","Shared","Intron (ENST00000371059.7/3953, intron 2 of 19)",1,65420716,65436007,15292,1,"54741","ENST00000613538.1",49043,"LEPROT"
"chr1",65965022,65965569,548,"*","Shared","Intron (ENST00000329654.8/5142, intron 3 of 16)",1,65992422,66374573,382152,1,"5142","ENST00000423207.6",-26853,"PDE4B"
"chr1",67355823,67356185,363,"*","Shared","Intron (ENST00000262345.5/3595, intron 9 of 15)",1,67343724,67397023,53300,1,"3595","ENST00000696763.1",12099,"IL12RB2"
"chr1",67888448,67889328,881,"*","Shared","Intron (ENST00000420587.5/100289178, intron 1 of 9)",1,67701475,67833467,131993,2,"55970","ENST00000370982.4",-54981,"GNG12"
"chr1",68384366,68384766,401,"*","Shared","Distal Intergenic",1,68428822,68449954,21133,2,"6121","ENST00000262340.6",65188,"RPE65"
"chr1",68826620,68827338,719,"*","Shared","Intron (ENST00000643361.1/ENST00000643361.1, intron 2 of 6)",1,69055838,69229597,173760,1,"105378787","ENST00000658427.1",-228500,"LOC105378787"
"chr1",74534334,74534690,357,"*","Shared","Intron (ENST00000557284.7/100526835, intron 25 of 26)",1,74540255,74544428,4174,1,"51086","ENST00000465473.1",-5565,"TNNI3K"
"chr1",74618892,74619230,339,"*","Shared","Intron (ENST00000612390.4/101927320, intron 2 of 2)",1,74612784,74634741,21958,2,"127254","ENST00000479666.1",15511,"ERICH3"
"chr1",75275997,75276866,870,"*","Shared","Intron (ENST00000370859.8/204962, intron 5 of 23)",1,75134388,75161533,27146,1,"431707","ENST00000696555.1",141609,"LHX8"
"chr1",77322153,77322465,313,"*","Shared","Intron (ENST00000354567.7/26289, intron 5 of 13)",1,77340405,77417849,77445,1,"26289","ENST00000465146.5",-17940,"AK5"
"chr1",77407861,77408444,584,"*","Shared","Intron (ENST00000354567.7/26289, intron 6 of 13)",1,77417693,77558729,141037,1,"26289","ENST00000527263.1",-9249,"AK5"
"chr1",77536718,77537171,454,"*","Shared","Intron (ENST00000354567.7/26289, intron 13 of 13)",1,77540496,77558731,18236,1,"26289","ENST00000466393.1",-3325,"AK5"
"chr1",77832444,77833291,848,"*","Shared","Intron (ENST00000443751.4/374986, intron 7 of 15)",1,77803389,77862215,58827,1,"374986","ENST00000476203.2",29055,"MIGA1"
"chr1",79323238,79323830,593,"*","Shared","Promoter (1-2kb)",1,79323769,79324852,1084,2,"105378811","ENST00000635706.1",1022,"LOC105378811"
"chr1",84365433,84366034,602,"*","Shared","Promoter (<=1kb)",1,84364958,84365841,884,2,"391051","ENST00000638373.1",0,"UOX"
"chr1",84908639,84909116,478,"*","Shared","Distal Intergenic",1,84811602,84893206,81605,2,"23566","ENST00000370611.4",-15433,"LPAR3"
"chr1",85297926,85298532,607,"*","Shared","Intron (ENST00000654182.1/646626, intron 2 of 2)",1,85276715,85399963,123249,1,"646626","ENST00000427819.5",21211,"BCL10-AS1"
"chr1",85313876,85314430,555,"*","Shared","Intron (ENST00000654182.1/646626, intron 2 of 2)",1,85276715,85399963,123249,1,"646626","ENST00000427819.5",37161,"BCL10-AS1"
"chr1",85343348,85344726,1379,"*","Shared","Intron (ENST00000654182.1/646626, intron 2 of 2)",1,85321452,85404528,83077,2,"23576","ENST00000633113.1",59802,"DDAH1"
"chr1",85361058,85361596,539,"*","Shared","Intron (ENST00000427819.5/646626, intron 2 of 4)",1,85321452,85404528,83077,2,"23576","ENST00000633113.1",42932,"DDAH1"
"chr1",85375277,85376199,923,"*","Shared","Intron (ENST00000427819.5/646626, intron 2 of 4)",1,85321452,85404528,83077,2,"23576","ENST00000633113.1",28329,"DDAH1"
"chr1",85550804,85551459,656,"*","Shared","Intron (ENST00000426972.8/23576, intron 1 of 6)",1,85495739,85576858,81120,2,"124904208","ENST00000467666.2",25399,"LOC124904208"
"chr1",85581319,85582504,1186,"*","Shared","Promoter (<=1kb)",1,85581463,85583930,2468,1,"3491","ENST00000675083.1",0,"CCN1"
"chr1",85611519,85612237,719,"*","Shared","Distal Intergenic",1,85592280,85592356,77,1,"124900422","ENST00000363064.1",19239,"LOC124900422"
"chr1",85617614,85618056,443,"*","Shared","Distal Intergenic",1,85592280,85592356,77,1,"124900422","ENST00000363064.1",25334,"LOC124900422"
"chr1",85623013,85623559,547,"*","Shared","Distal Intergenic",1,85592280,85592356,77,1,"124900422","ENST00000363064.1",30733,"LOC124900422"
"chr1",85628768,85629540,773,"*","Shared","Distal Intergenic",1,85592280,85592356,77,1,"124900422","ENST00000363064.1",36488,"LOC124900422"
"chr1",86137402,86137963,562,"*","Shared","Intron (ENST00000370571.7/255631, intron 2 of 59)",1,85730082,86156763,426682,2,"255631","ENST00000426639.5",18800,"COL24A1"
"chr1",86201023,86201949,927,"*","Shared","Distal Intergenic",1,86126092,86156943,30852,2,"255631","ENST00000496682.2",-44080,"COL24A1"
"chr1",87224197,87224678,482,"*","Shared","Intron (ENST00000640491.1/101927844, intron 2 of 3)",1,87212705,87264741,52037,1,"101927844","ENST00000640362.1",11492,"LINC02801"
"chr1",87225924,87226767,844,"*","Shared","Intron (ENST00000640491.1/101927844, intron 2 of 3)",1,87212705,87264741,52037,1,"101927844","ENST00000640362.1",13219,"LINC02801"
"chr1",87399361,87399980,620,"*","Shared","Distal Intergenic",1,87353521,87371683,18163,2,"100505768","ENST00000452509.2",-27678,"LINC01364"
"chr1",89271564,89272045,482,"*","Shared","Promoter (<=1kb)",1,89262698,89272804,10107,2,"115362","ENST00000443807.1",759,"GBP5"
"chr1",89499512,89500081,570,"*","Shared","Intron (ENST00000671515.1/105378844, intron 1 of 5)",1,89524829,89593366,68538,1,"23507","ENST00000439853.6",-24748,"LRRC8B"
"chr1",89808407,89808843,437,"*","Shared","Intron (ENST00000370453.5/55144, intron 2 of 3)",1,89820174,89820868,695,2,"118568809","ENST00000609194.1",12025,"LRRC8D-DT"
"chr1",89890067,89890960,894,"*","Shared","Intron (ENST00000370453.5/55144, intron 3 of 3)",1,89846580,89933892,87313,1,"55144","ENST00000441269.2",43487,"LRRC8D"
"chr1",89906505,89907133,629,"*","Shared","Intron (ENST00000370453.5/55144, intron 3 of 3)",1,89846580,89933892,87313,1,"55144","ENST00000441269.2",59925,"LRRC8D"
"chr1",89939041,89939788,748,"*","Shared","Exon (ENST00000608671.1/ENST00000608671.1, exon 1 of 1)",1,89993593,89994321,729,2,"492303","ENST00000380526.2",54533,"GEMIN8P4"
"chr1",90315482,90315835,354,"*","Shared","Distal Intergenic",1,90242088,90284188,42101,1,"105378849","ENST00000663908.1",73394,"LOC105378849"
"chr1",90370770,90371430,661,"*","Shared","Distal Intergenic",1,90389826,90400981,11156,2,"105378850","ENST00000661553.1",29551,"LOC105378850"
"chr1",92030765,92031072,308,"*","Shared","Promoter (<=1kb)",1,92029985,92063538,33554,1,"253152","ENST00000370383.5",780,"EPHX4"
"chr1",92934585,92935077,493,"*","Shared","Intron (ENST00000615519.4/388650, intron 1 of 4)",1,92842167,92961462,119296,2,"388650","ENST00000370310.5",26385,"DIPK1A"
"chr1",92950071,92950684,614,"*","Shared","Intron (ENST00000615519.4/388650, intron 1 of 4)",1,92842167,92961462,119296,2,"388650","ENST00000370310.5",10778,"DIPK1A"
"chr1",93623582,93624193,612,"*","Shared","Intron (ENST00000260502.11/8412, intron 3 of 11)",1,93561786,93614097,52312,2,"8412","ENST00000370247.7",-9485,"BCAR3"
"chr1",93625433,93625943,511,"*","Shared","Intron (ENST00000260502.11/8412, intron 3 of 11)",1,93561786,93614097,52312,2,"8412","ENST00000370247.7",-11336,"BCAR3"
"chr1",93635628,93636512,885,"*","Shared","Intron (ENST00000260502.11/8412, intron 3 of 11)",1,93592306,93648822,56517,2,"8412","ENST00000479503.2",12310,"BCAR3"
"chr1",93692551,93693016,466,"*","Shared","Intron (ENST00000370244.5/8412, intron 3 of 13)",1,93561741,93681837,120097,2,"8412","ENST00000260502.11",-10714,"BCAR3"
"chr1",93701503,93702021,519,"*","Shared","Intron (ENST00000370244.5/8412, intron 3 of 13)",1,93561741,93681837,120097,2,"8412","ENST00000260502.11",-19666,"BCAR3"
"chr1",93758892,93759316,425,"*","Shared","Intron (ENST00000370244.5/8412, intron 2 of 13)",1,93752924,93775444,22521,2,"8412","ENST00000433544.1",16128,"BCAR3"
"chr1",93779597,93780235,639,"*","Shared","Intron (ENST00000370244.5/8412, intron 2 of 13)",1,93752924,93775444,22521,2,"8412","ENST00000433544.1",-4153,"BCAR3"
"chr1",94295709,94296274,566,"*","Shared","Intron (ENST00000660441.1/107985092, intron 2 of 3)",1,94287335,94335546,48212,1,"107985092","ENST00000654057.3",8374,"ARHGAP29-AS1"
"chr1",94300071,94300542,472,"*","Shared","Intron (ENST00000660441.1/107985092, intron 2 of 3)",1,94287335,94335546,48212,1,"107985092","ENST00000654057.3",12736,"ARHGAP29-AS1"
"chr1",94579934,94580341,408,"*","Shared","Distal Intergenic",1,94541940,94554520,12581,1,"124904223","ENST00000702722.1",37994,"LOC124904223"
"chr1",94622521,94623207,687,"*","Shared","Promoter (<=1kb)",1,94621151,94624184,3034,2,"101928079","ENST00000435559.1",977,"SLC44A3-AS1"
"chr1",94689985,94690330,346,"*","Shared","Intron (ENST00000634870.1/101928079, intron 2 of 5)",1,94657925,94658250,326,2,"101928079","ENST00000456551.1",-31735,"SLC44A3-AS1"
"chr1",94783335,94783876,542,"*","Shared","Intron (ENST00000634870.1/101928079, intron 1 of 5)",1,94638461,94820096,181636,2,"101928079","ENST00000442418.5",36220,"SLC44A3-AS1"
"chr1",94863487,94864404,918,"*","Shared","Intron (ENST00000446120.6/126969, intron 9 of 13)",1,94867331,94895052,27722,1,"126969","ENST00000532670.1",-2927,"SLC44A3"
"chr1",94925407,94926339,933,"*","Shared","Promoter (<=1kb)",1,94896949,94925808,28860,2,"1266","ENST00000545882.5",0,"CNN3"
"chr1",95023738,95024033,296,"*","Shared","Intron (ENST00000715651.1/101928098, intron 2 of 2)",1,94983550,95027203,43654,2,"199857","ENST00000507727.2",3170,"ALG14"
